ReviewText,ReviewDate,ReviewAuthor,ReviewStarRating,Review Link
"Amazing car.
At such price, the number of features and BS6 refined engine, it's amazing."," Dec 01, 2019 ",By Nilesh Kalbhor,5.0,https://www.cardekho.com/user-review/kia-seltos/amazing-car-95161.htm
"Kia Seltos is the best segment car I have ever seen. This car is fantastic due to its features regarding safety, infotainment etc. This car is a budgeting car and easily affordable when compared with other cars from other companies. This car is a king of highways. So smooth to drive and easily controlled. This car breaking quality is unbelievable. Kia Seltos cannot get any compromise regarding safety and breaking quality. This is the best thought of the Kia company. At the end I would like to say that this car is best according to its price, providing very good features at less price, for safety purpose etc "," Nov 30, 2019 ",By Parveen,5.0,https://www.cardekho.com/user-review/kia-seltos/unbelievable-car-95034.htm
"The best thing about the car is the interior and exterior features. It is provided at such a reasonable price, and it is simply the best in its segment and it makes Seltos the best car."," Dec 01, 2019 ",By Kamalpreet Sodhi,5.0,https://www.cardekho.com/user-review/kia-seltos/amazing-car-95160.htm
"Best car ever.
Nice car with all features. This car is very well designed and delivers a good performance. Build quality and interior is so good."," Nov 30, 2019 ",By Bhupendra Khichi,5.0,https://www.cardekho.com/user-review/kia-seltos/best-car-ever-95104.htm
"A car for everyone.
The best car in this segment. Never hesitated before buying this car. I just want to say go for it. If you still have doubt go and test drive it."," Nov 30, 2019 ",By Deshgaurav Kaushik,5.0,https://www.cardekho.com/user-review/kia-seltos/a-car-for-everyone-95092.htm
"The excellent car, I have never seen any car with those features in India. It's a superb car at a low budget, I have never seen all the features in a low budget car. It felt like, I am using a luxury car like (Benz, BMW etc), ride quality is smooth which is of next level."," Nov 29, 2019 ",By Muhammed Hisham,5.0,https://www.cardekho.com/user-review/kia-seltos/superb-and-next-level-95012.htm
"The best car.
It is the best car in segment, I love this car because of its features and engine in this car. You can also get heads up display of 8 inches which very convenient."," Dec 01, 2019 ",By Vansh Jiwanani,5.0,https://www.cardekho.com/user-review/kia-seltos/the-best-car-95135.htm
"Car of the year.
Kia Seltos is the best car in the 2019 car collection. This car is comfortable and featureful as compared to other cars."," Nov 30, 2019 ",By Aman Boora,5.0,https://www.cardekho.com/user-review/kia-seltos/car-of-the-year-95093.htm
"The looks are amazing, and the design is excellent. The interior of the car makes it a true premium Car. The dashboard is fantastic, and the piano finish is so cool. The design of headlights and the music system's screen is so cool. I have no words to describe the Kia Seltos."," Nov 30, 2019 ",By Nikhil Jangid,5.0,https://www.cardekho.com/user-review/kia-seltos/amazing-car-95109.htm
"Magnificent car.
Good quality interiors and shockers are so reflective even a large bump wouldn't make a difference. Good seating command and price is on the quite higher side."," Nov 30, 2019 ",By Nikhil Reddy,4.0,https://www.cardekho.com/user-review/kia-seltos/magnificent-car-95049.htm
"Looking nice.
Superb car and the red color is the best one. My SUV experience is far way better than Scorpio. I really like this car."," Nov 29, 2019 ",By Fozlul Fozlul Karim,5.0,https://www.cardekho.com/user-review/kia-seltos/looking-nice-95018.htm
"The perfect car for everyday use. It's not too big and not too small. A good car for a family getaway and can take long vacations also. The technology provided is mind-blowing and with this price point, it's a bargain. The best part of Seltos is that it can be selected from a wide range of variants which makes it easy for anyone who is looking into compact SUVs and further can select the variant which fits within their budget."," Nov 29, 2019 ",By Hritvik Jadhav,5.0,https://www.cardekho.com/user-review/kia-seltos/the-game-changer-94972.htm
"Amazing feature loaded SUV.
It's a very good car, good to drive and has awesome segment-first features. Interior Plastic quality is good too. Ride quality below 60 is amazing it soaks almost all small patches of road, the cabin is quieter than most of the rivals plus to make cabin, even more, the better place they have provided with a proper air purifier which a good thing fo...Read More"," Nov 29, 2019 ",By Rajat Kumar Gupta,4.0,https://www.cardekho.com/user-review/kia-seltos/amazing-feature-loaded-suv-94947.htm
"Amazing machine
Its too good compared to swift as well. Good in automatic transmission gives the best mileage."," Nov 29, 2019 ",By Rohitash Sharma,5.0,https://www.cardekho.com/user-review/kia-seltos/amazing-machine-94950.htm
"Kia the super car.
It is a nice car as it has good features in it and suitable for people who go mountain trailing. I like this car as it has sunroof and moonroof. It is comfortable and spacious with good leg rest. The outer look is very classy, till I know Kia is good brand company and has a good impression in the market. Read More"," Nov 29, 2019 ",By User,5.0,https://www.cardekho.com/user-review/kia-seltos/kia-the-super-car-94962.htm
