id,name,latitude,longitude,dpcapacity,dateCreated
202,Halsted St & 18th St,41.857499,-87.646277,15,15-08-2013
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,14-08-2013
338,Calumet Ave & 18th St,41.857611,-87.619407,15,28-09-2013
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,05-09-2013
62,McCormick Place,41.85137517,-87.61883465,27,18-06-2013
295,Broadway & Argyle St,41.972972,-87.659637,15,18-09-2013
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,18-09-2013
239,Western Ave & Leland Ave,41.966555,-87.688487,15,21-08-2013
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,17-09-2013
345,Lake Park Ave & 56th St,41.793242,-87.587782,15,09-10-2013
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,19-08-2013
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,27-06-2013
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,22-08-2013
299,Halsted St & Roscoe St,41.943662,-87.648917,15,19-09-2013
126,Clark St & North Ave,41.911974,-87.631942,15,29-07-2013
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,20-08-2013
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,29-10-2013
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,03-08-2013
219,Damen Ave & Cortland St,41.916027,-87.677411,11,20-08-2013
215,Damen Ave & Madison St,41.88137,-87.67493,15,15-08-2013
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,25-07-2013
130,Damen Ave & Division St,41.90331,-87.67695,15,26-07-2013
300,Broadway & Barry Ave,41.937601,-87.644005,15,19-09-2013
75,Canal St & Jackson Blvd,41.877988,-87.640769,23,15-06-2013
19,Loomis St & Taylor St,41.869417,-87.660996,15,21-06-2013
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,23-09-2013
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,16-08-2013
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,26-07-2013
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,20-08-2013
308,Seeley Ave & Roscoe St,41.943403,-87.679618,11,27-09-2013
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,09-09-2013
94,Clark St & Armitage Ave,41.918306,-87.636282,19,22-06-2013
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19,20-09-2013
72,State St & 16th St,41.86012138,-87.62772919,15,24-06-2013
132,Wentworth Ave & 24th St,41.849237,-87.631715,15,05-09-2013
273,Michigan Ave & 18th St,41.857937,-87.623633,15,12-09-2013
